Entry	Reviewed	Length	Organism (ID)	PDB	Superkingdom	Phylum
A0A2A2PES8	unreviewed	342	321662		Bacteria	Pseudomonadota
A0A2A2PIP1	unreviewed	331	321662		Bacteria	Pseudomonadota
A0A2A2PSW1	unreviewed	339	321662		Bacteria	Pseudomonadota
A0A2A2Q9W2	unreviewed	347	1982319		Bacteria	Verrucomicrobiota
A0A2A2QJ84	unreviewed	349	1982322		Bacteria	Verrucomicrobiota
A0A2A2R3X0	unreviewed	338	1982333		Bacteria	Verrucomicrobiota
A0A2A2RRP4	unreviewed	337	1982324		Bacteria	Verrucomicrobiota
A0A2A2S3U1	unreviewed	342	2029590		Bacteria	Bacteroidota
A0A2A2S8E6	unreviewed	341	2029590		Bacteria	Bacteroidota
A0A2A2SUV3	unreviewed	331	573		Bacteria	Pseudomonadota
A0A2A2UWW2	unreviewed	336	2029678		Bacteria	Pseudomonadota
A0A2A2VG84	unreviewed	369	418599		Bacteria	Pseudomonadota
A0A2A2W7K3	unreviewed	421	595453		Bacteria	Planctomycetota
A0A2A3AAA5	unreviewed	333	2029857		Bacteria	Bacillota
A0A2A3B3W3	unreviewed	352	422271		Bacteria	Pseudomonadota
A0A2A3BEA4	unreviewed	333	422271		Bacteria	Pseudomonadota
A0A2A3BXY4	unreviewed	350	2029409		Bacteria	Pseudomonadota
A0A2A3C1I1	unreviewed	332	2029409		Bacteria	Pseudomonadota
A0A2A3C633	unreviewed	349	422277		Bacteria	Pseudomonadota
A0A2A3CQD3	unreviewed	333	2029404		Bacteria	Pseudomonadota
A0A2A3CRP7	unreviewed	356	2029404		Bacteria	Pseudomonadota
A0A2A3DA01	unreviewed	348	2029403		Bacteria	Pseudomonadota
A0A2A3DG41	unreviewed	333	2029403		Bacteria	Pseudomonadota
A0A2A3DHZ4	unreviewed	332	2029402		Bacteria	Pseudomonadota
A0A2A3GHR3	unreviewed	355	2028572		Bacteria	Actinomycetota
A0A2A3I1N0	unreviewed	302	1938860		Bacteria	Actinomycetota
A0A2A3IZ55	unreviewed	221	1938855		Bacteria	Actinomycetota
A0A2A3IZ99	unreviewed	344	1938855		Bacteria	Actinomycetota
A0A2A3K0C4	unreviewed	340	1779329		Bacteria	Pseudomonadota
A0A2A3M470	unreviewed	340	70775		Bacteria	Pseudomonadota
A0A2A3M9X8	unreviewed	331	70775		Bacteria	Pseudomonadota
A0A2A3TX36	unreviewed	325	1580		Bacteria	Bacillota
A0A2A3TYE5	unreviewed	312	1580		Bacteria	Bacillota
A0A2A3U8U9	unreviewed	335	2021370		Bacteria	Bacteroidota
A0A2A3XEU9	unreviewed	327	2024405		Bacteria	Pseudomonadota
A0A2A3XF45	unreviewed	345	2024405		Bacteria	Pseudomonadota
A0A2A3XHQ0	unreviewed	331	2024405		Bacteria	Pseudomonadota
A0A2A3XIT0	unreviewed	355	2024403		Bacteria	Actinomycetota
A0A2A3YNC4	unreviewed	350	47845		Bacteria	Actinomycetota
A0A2A4CDS7	unreviewed	341	1705310		Bacteria	Pseudomonadota
A0A2A4CMG0	unreviewed	349	1795308		Bacteria	Pseudomonadota
A0A2A4EBL8	unreviewed	328	1849736		Bacteria	Actinomycetota
A0A2A4ECM1	unreviewed	337	1849736		Bacteria	Actinomycetota
A0A2A4F2G9	unreviewed	342	265293		Bacteria	Pseudomonadota
A0A2A4F4M4	unreviewed	340	1912599		Bacteria	Pseudomonadota
A0A2A4FI20	unreviewed	342	265293		Bacteria	Pseudomonadota
A0A2A4GCC3	unreviewed	333	2003370		Bacteria	Pseudomonadota
A0A2A4GFI9	unreviewed	343	319238		Bacteria	Bacteroidota
A0A2A4HLG9	unreviewed	331	2042704		Bacteria	Pseudomonadota
A0A2A4HNJ4	unreviewed	325	2042704		Bacteria	Pseudomonadota
A0A2A4I258	unreviewed	336	862134		Bacteria	Pseudomonadota
A0A2A4I751	unreviewed	316	28212		Bacteria	Pseudomonadota
A0A2A4NCE5	unreviewed	339	2030927		Bacteria	Bacteroidota
A0A2A4NN62	unreviewed	338	1871037		Bacteria	Bacteroidota
A0A2A4NN73	unreviewed	339	1909294		Bacteria	Pseudomonadota
A0A2A4NNJ1	unreviewed	344	1909294		Bacteria	Pseudomonadota
A0A2A4NP62	unreviewed	336	1909294		Bacteria	Pseudomonadota
A0A2A4QID9	unreviewed	334	1904441		Bacteria	Pseudomonadota
A0A2A4QU19	unreviewed	338	1871037		Bacteria	Bacteroidota
A0A2A4R518	unreviewed	337	1909294		Bacteria	Pseudomonadota
A0A2A4RCK2	unreviewed	336	1871037		Bacteria	Bacteroidota
A0A2A4RHF0	unreviewed	341	1871037		Bacteria	Bacteroidota
A0A2A4TGW8	unreviewed	338	1871037		Bacteria	Bacteroidota
A0A2A4TQZ4	unreviewed	336	1871037		Bacteria	Bacteroidota
A0A2A4V3C8	unreviewed	341	1913988		Bacteria	Pseudomonadota
A0A2A4WKA2	unreviewed	338	1913989		Bacteria	Pseudomonadota
A0A2A4XVC4	unreviewed	353	1909294		Bacteria	Pseudomonadota
A0A2A4ZNV4	unreviewed	341	1904441		Bacteria	Pseudomonadota
A0A2A5BJH1	unreviewed	335	1913988		Bacteria	Pseudomonadota
A0A2A5DLG5	unreviewed	352	2026780		Bacteria	Planctomycetota
A0A2A5DNB2	unreviewed	358	2026780		Bacteria	Planctomycetota
A0A2A5DNJ3	unreviewed	346	2026780		Bacteria	Planctomycetota
A0A2A5DNL5	unreviewed	375	2026780		Bacteria	Planctomycetota
A0A2A5E1G4	unreviewed	344	2026780		Bacteria	Planctomycetota
A0A2A5E3G8	unreviewed	355	2026780		Bacteria	Planctomycetota
A0A2A5E4W0	unreviewed	357	2026780		Bacteria	Planctomycetota
A0A2A5GKD2	unreviewed	339	1871037		Bacteria	Bacteroidota
A0A2A5H2U9	unreviewed	339	1871037		Bacteria	Bacteroidota
A0A2A5IQP2	unreviewed	328	1408		Bacteria	Bacillota
A0A2A5IWZ1	unreviewed	329	1408		Bacteria	Bacillota
A0A2A5J262	unreviewed	329	1408		Bacteria	Bacillota
A0A2A5JYJ1	unreviewed	329	741161		Bacteria	Bacillota
A0A2A5K6E7	unreviewed	329	741161		Bacteria	Bacillota
A0A2A5K6I4	unreviewed	171	741161		Bacteria	Bacillota
A0A2A5KT23	unreviewed	334	1535245		Bacteria	Pseudomonadota
A0A2A5LJ29	unreviewed	344	1401		Bacteria	Bacillota
A0A2A5LMM0	unreviewed	335	1401		Bacteria	Bacillota
A0A2A5LMP1	unreviewed	330	1401		Bacteria	Bacillota
A0A2A5MEV2	unreviewed	338	1463165		Bacteria	Pseudomonadota
A0A2A5MHV9	unreviewed	331	1463165		Bacteria	Pseudomonadota
A0A2A5NRN6	unreviewed	327	2033654		Bacteria	Actinomycetota
A0A2A5NTM1	unreviewed	347	2033654		Bacteria	Actinomycetota
A0A2A5Q860	unreviewed	342	587		Bacteria	Pseudomonadota
A0A2A5RJ62	unreviewed	301	1291764		Bacteria	Bacillota
A0A2A5RPM0	unreviewed	331	1291764		Bacteria	Bacillota
A0A2A5S0J7	unreviewed	337	1364		Bacteria	Bacillota
A0A2A5S1V4	unreviewed	332	1365		Bacteria	Bacillota
A0A2A5S2M5	unreviewed	329	1365		Bacteria	Bacillota
A0A2A5S3T8	unreviewed	329	1364		Bacteria	Bacillota
A0A2A5S5C8	unreviewed	332	1364		Bacteria	Bacillota
A0A2A5SDA4	unreviewed	332	1366		Bacteria	Bacillota
A0A2A5SKI8	unreviewed	307	203404		Bacteria	Bacillota
A0A2A5SQE3	unreviewed	307	542833		Bacteria	Bacillota
A0A2A5X8A2	unreviewed	345	1986258		Bacteria	Bacteroidota
A0A2A5Y5E1	unreviewed	340	1986241		Bacteria	Pseudomonadota
A0A2A6DAS7	unreviewed	346	28901		Bacteria	Pseudomonadota
A0A2A6DD03	unreviewed	334	28901		Bacteria	Pseudomonadota
A0A2A6FEU0	unreviewed	349	2037900		Bacteria	Pseudomonadota
A0A2A6FSL3	unreviewed	342	1969409		Bacteria	Actinomycetota
A0A2A6HIM8	unreviewed	335	2035452		Bacteria	Pseudomonadota
A0A2A6HTM6	unreviewed	334	2035452		Bacteria	Pseudomonadota
A0A2A6I5Y5	unreviewed	356	2035451		Bacteria	Pseudomonadota
A0A2A6I761	unreviewed	334	2035451		Bacteria	Pseudomonadota
A0A2A6IKI7	unreviewed	339	2035451		Bacteria	Pseudomonadota
A0A2A6J1T8	unreviewed	328	2035448		Bacteria	Pseudomonadota
A0A2A6J5H1	unreviewed	334	2035448		Bacteria	Pseudomonadota
A0A2A6J7D6	unreviewed	334	2035448		Bacteria	Pseudomonadota
A0A2A6JBI1	unreviewed	339	2035448		Bacteria	Pseudomonadota
A0A2A6JJU6	unreviewed	328	2035450		Bacteria	Pseudomonadota
A0A2A6JRR6	unreviewed	356	2035450		Bacteria	Pseudomonadota
A0A2A6JS42	unreviewed	334	2035450		Bacteria	Pseudomonadota
A0A2A6K087	unreviewed	335	2035450		Bacteria	Pseudomonadota
A0A2A6K4V9	unreviewed	334	1538159		Bacteria	Pseudomonadota
A0A2A6K5H2	unreviewed	334	1538159		Bacteria	Pseudomonadota
A0A2A6KAJ3	unreviewed	339	1538159		Bacteria	Pseudomonadota
A0A2A6KDU7	unreviewed	339	1538159		Bacteria	Pseudomonadota
A0A2A6KJC6	unreviewed	344	1538159		Bacteria	Pseudomonadota
A0A2A6KKM8	unreviewed	335	1538159		Bacteria	Pseudomonadota
A0A2A6LAY8	unreviewed	334	1324586		Bacteria	Pseudomonadota
A0A2A6LBY9	unreviewed	332	1324586		Bacteria	Pseudomonadota
A0A2A6LG98	unreviewed	335	1324586		Bacteria	Pseudomonadota
A0A2A6LTZ1	unreviewed	357	380		Bacteria	Pseudomonadota
A0A2A6M459	unreviewed	355	380		Bacteria	Pseudomonadota
A0A2A6M6F7	unreviewed	342	380		Bacteria	Pseudomonadota
A0A2A6MLB8	unreviewed	353	1538174		Bacteria	Pseudomonadota
A0A2A6NVU8	unreviewed	354	142585		Bacteria	Pseudomonadota
A0A2A6P9E5	unreviewed	349	2035455		Bacteria	Pseudomonadota
A0A2A6PBY7	unreviewed	353	2035455		Bacteria	Pseudomonadota
A0A2A6Q3W4	unreviewed	331	562		Bacteria	Pseudomonadota
A0A2A6QEC6	unreviewed	342	562		Bacteria	Pseudomonadota
A0A2A6QZF9	unreviewed	334	2035449		Bacteria	Pseudomonadota
A0A2A6R373	unreviewed	332	2035449		Bacteria	Pseudomonadota
A0A2A6ZY40	unreviewed	330	853		Bacteria	Bacillota
A0A2A6ZZU7	unreviewed	335	853		Bacteria	Bacillota
A0A2A7AX81	unreviewed	330	853		Bacteria	Bacillota
A0A2A7BA82	unreviewed	331	853		Bacteria	Bacillota
A0A2A7BDS1	unreviewed	75	853		Bacteria	Bacillota
A0A2A7BU60	unreviewed	325	1890302		Bacteria	Bacillota
A0A2A7D2L3	unreviewed	325	1392		Bacteria	Bacillota
A0A2A7DCK3	unreviewed	329	1392		Bacteria	Bacillota
A0A2A7DDS9	unreviewed	337	1392		Bacteria	Bacillota
A0A2A7DN97	unreviewed	338	1890302		Bacteria	Bacillota
A0A2A7DXZ3	unreviewed	325	2033516		Bacteria	Bacillota
A0A2A7DYP1	unreviewed	325	2033516		Bacteria	Bacillota
A0A2A7E3R4	unreviewed	337	2033516		Bacteria	Bacillota
A0A2A7E5P2	unreviewed	329	2033516		Bacteria	Bacillota
A0A2A7H1L2	unreviewed	337	2033868		Bacteria	Bacillota
A0A2A7H5X7	unreviewed	323	2033868		Bacteria	Bacillota
A0A2A7MF92	unreviewed	337	137838		Bacteria	Bacillota
A0A2A7N0Y9	unreviewed	341	36811		Bacteria	Actinomycetota
A0A2A7S6Q4	unreviewed	356	28095		Bacteria	Pseudomonadota
A0A2A7SH80	unreviewed	356	28095		Bacteria	Pseudomonadota
A0A2A7T4G7	unreviewed	331	28152		Bacteria	Pseudomonadota
A0A2A7T5A9	unreviewed	330	28152		Bacteria	Pseudomonadota
A0A2A7T6M1	unreviewed	336	28152		Bacteria	Pseudomonadota
A0A2A7T9N3	unreviewed	331	28152		Bacteria	Pseudomonadota
A0A2A7TAQ4	unreviewed	343	28152		Bacteria	Pseudomonadota
A0A2A7TDI6	unreviewed	343	28152		Bacteria	Pseudomonadota
A0A2A7TXN0	unreviewed	348	636		Bacteria	Pseudomonadota
A0A2A7TYD7	unreviewed	332	636		Bacteria	Pseudomonadota
A0A2A7U6N0	unreviewed	334	636		Bacteria	Pseudomonadota
A0A2A7VWE8	unreviewed	329	1890302		Bacteria	Bacillota
A0A2A7VY96	unreviewed	338	1890302		Bacteria	Bacillota
A0A2A7W2X7	unreviewed	325	1890302		Bacteria	Bacillota
A0A2A7WNF1	unreviewed	315	2033481		Bacteria	Bacillota
A0A2A7WY98	unreviewed	338	2033481		Bacteria	Bacillota
A0A2A7X7T4	unreviewed	338	1890302		Bacteria	Bacillota
A0A2A7X8I6	unreviewed	325	1890302		Bacteria	Bacillota
A0A2A7XC06	unreviewed	329	1890302		Bacteria	Bacillota
A0A2A7XFT9	unreviewed	325	1890302		Bacteria	Bacillota
A0A2A7XG25	unreviewed	336	1890302		Bacteria	Bacillota
A0A2A7ZTA4	unreviewed	337	1396		Bacteria	Bacillota
A0A2A8CJY3	unreviewed	329	1890302		Bacteria	Bacillota
A0A2A8H5V9	unreviewed	340	64104		Bacteria	Bacillota
A0A2A8HBH8	unreviewed	325	155322		Bacteria	Bacillota
A0A2A8IN09	unreviewed	325	1396		Bacteria	Bacillota
A0A2A8S8R2	unreviewed	325	2033491		Bacteria	Bacillota
A0A2A8SC53	unreviewed	323	2033491		Bacteria	Bacillota
A0A2A8SFF0	unreviewed	325	2033491		Bacteria	Bacillota
A0A2A8SI53	unreviewed	337	2033491		Bacteria	Bacillota
A0A2A8UZ82	unreviewed	325	2033487		Bacteria	Bacillota
A0A2A8V4G6	unreviewed	337	2033487		Bacteria	Bacillota
A0A2A8VFV6	unreviewed	321	2033486		Bacteria	Bacillota
A0A2A8Y9Z3	unreviewed	325	1396		Bacteria	Bacillota
A0A2A9A296	unreviewed	325	1396		Bacteria	Bacillota
A0A2A9CIZ2	unreviewed	323	1761764		Bacteria	Bacillota
A0A2A9CJM9	unreviewed	329	1761764		Bacteria	Bacillota
A0A2A9CNP1	unreviewed	331	185243		Bacteria	Actinomycetota
A0A2A9DV60	unreviewed	335	630514		Bacteria	Actinomycetota
A0A2A9EJD3	unreviewed	350	638953		Bacteria	Actinomycetota
A0A2A9ELC8	unreviewed	339	638953		Bacteria	Actinomycetota
A0A2A9FLG1	unreviewed	331	1761796		Bacteria	Pseudomonadota
A0A2A9G374	unreviewed	326	1761909		Bacteria	Pseudomonadota
A0A2A9G547	unreviewed	334	1761909		Bacteria	Pseudomonadota
A0A2A9G6P2	unreviewed	332	1761909		Bacteria	Pseudomonadota
A0A2A9GD07	unreviewed	342	1798203		Bacteria	Pseudomonadota
A0A2A9GUM2	unreviewed	326	1945889		Bacteria	Actinomycetota
A0A2A9GUY2	unreviewed	333	1945889		Bacteria	Actinomycetota
A0A2A9GWE5	unreviewed	350	1945889		Bacteria	Actinomycetota
A0A2A9ILP7	unreviewed	307	1358		Bacteria	Bacillota
A0A2A9KKJ3	unreviewed	349	1881062		Bacteria	Pseudomonadota
A0A2A9LTF2	unreviewed	341	1938747		Bacteria	Pseudomonadota
A0A2A9UWP1	unreviewed	337	1396		Bacteria	Bacillota
A0A2A9YF72	unreviewed	334	1404		Bacteria	Bacillota
A0A2B0MMI2	unreviewed	325	1396		Bacteria	Bacillota
A0A2B0MQG7	unreviewed	323	1396		Bacteria	Bacillota
A0A2B0TLX5	unreviewed	325	1396		Bacteria	Bacillota
A0A2B0TNC7	unreviewed	337	1396		Bacteria	Bacillota
A0A2B0W155	unreviewed	329	1392		Bacteria	Bacillota
A0A2B0X139	unreviewed	337	1392		Bacteria	Bacillota
A0A2B0XI69	unreviewed	325	1392		Bacteria	Bacillota
A0A2B0Y811	unreviewed	325	1392		Bacteria	Bacillota
A0A2B1D6D1	unreviewed	325	1396		Bacteria	Bacillota
A0A2B1DNM7	unreviewed	337	1396		Bacteria	Bacillota
A0A2B1K889	unreviewed	325	1396		Bacteria	Bacillota
A0A2B1KSC7	unreviewed	337	1396		Bacteria	Bacillota
A0A2B1Y2U2	unreviewed	337	1396		Bacteria	Bacillota
A0A2B2BY13	unreviewed	325	2033511		Bacteria	Bacillota
A0A2B2FH21	unreviewed	336	1396		Bacteria	Bacillota
A0A2B2LRD4	unreviewed	325	1396		Bacteria	Bacillota
A0A2B2SYE9	unreviewed	329	1396		Bacteria	Bacillota
A0A2B3DS85	unreviewed	329	1396		Bacteria	Bacillota
A0A2B3U0N8	unreviewed	325	1396		Bacteria	Bacillota
A0A2B4F2E8	unreviewed	337	2033508		Bacteria	Bacillota
A0A2B4F9V0	unreviewed	329	2033508		Bacteria	Bacillota
A0A2B4LNN9	unreviewed	337	1396		Bacteria	Bacillota
A0A2B4T3P8	unreviewed	325	155322		Bacteria	Bacillota
A0A2B4YKG2	unreviewed	323	155322		Bacteria	Bacillota
A0A2B5AI57	unreviewed	323	155322		Bacteria	Bacillota
A0A2B5H9B1	unreviewed	325	64104		Bacteria	Bacillota
A0A2B5J227	unreviewed	336	1890302		Bacteria	Bacillota
A0A2B5J9B5	unreviewed	325	1890302		Bacteria	Bacillota
A0A2B6BHJ3	unreviewed	325	1890302		Bacteria	Bacillota
A0A2B6C269	unreviewed	325	1392		Bacteria	Bacillota
A0A2B6MG14	unreviewed	325	155322		Bacteria	Bacillota
A0A2B6N2N1	unreviewed	323	155322		Bacteria	Bacillota
A0A2B6RL99	unreviewed	325	1890302		Bacteria	Bacillota
A0A2B6YT47	unreviewed	337	64104		Bacteria	Bacillota
A0A2B7LQJ9	unreviewed	342	1499973		Bacteria	Pseudomonadota
A0A2B7LRL9	unreviewed	342	1499973		Bacteria	Pseudomonadota
A0A2B7M1R8	unreviewed	331	1499973		Bacteria	Pseudomonadota
A0A2B8A511	unreviewed	343	2044729		Bacteria	Bacteroidota
A0A2B8ADX6	unreviewed	278	2044307		Bacteria	Actinomycetota
A0A2B8AP70	unreviewed	339	2044307		Bacteria	Actinomycetota
A0A2B8JZL1	unreviewed	320	1404		Bacteria	Bacillota
A0A2B8T8H3	unreviewed	325	1396		Bacteria	Bacillota
A0A2B9DCR7	unreviewed	325	1396		Bacteria	Bacillota
A0A2B9E6P2	unreviewed	325	1396		Bacteria	Bacillota
A0A2B9EES0	unreviewed	325	1396		Bacteria	Bacillota
A0A2B9Q9H3	unreviewed	325	1396		Bacteria	Bacillota
A0A2C0EPP9	unreviewed	323	1396		Bacteria	Bacillota
A0A2C1DCD4	unreviewed	325	1396		Bacteria	Bacillota
A0A2C1EDS6	unreviewed	337	1396		Bacteria	Bacillota
A0A2C1L0A6	unreviewed	338	2033502		Bacteria	Bacillota
A0A2C1YTA2	unreviewed	321	2033499		Bacteria	Bacillota
A0A2C1YVV2	unreviewed	325	2033499		Bacteria	Bacillota
A0A2C1YXV5	unreviewed	329	2033499		Bacteria	Bacillota
A0A2C1Z2M8	unreviewed	342	2033499		Bacteria	Bacillota
A0A2C1Z5V4	unreviewed	337	2033499		Bacteria	Bacillota
A0A2C2CIS6	unreviewed	338	1396		Bacteria	Bacillota
A0A2C2V0K9	unreviewed	321	2033496		Bacteria	Bacillota
A0A2C2V4P4	unreviewed	328	2033496		Bacteria	Bacillota
A0A2C2V7I1	unreviewed	325	2033496		Bacteria	Bacillota
A0A2C2V7S7	unreviewed	362	2033496		Bacteria	Bacillota
A0A2C2VVC3	unreviewed	337	1396		Bacteria	Bacillota
A0A2C3MAQ5	unreviewed	329	1890302		Bacteria	Bacillota
A0A2C3NR01	unreviewed	329	1890302		Bacteria	Bacillota
A0A2C4AI99	unreviewed	329	1890302		Bacteria	Bacillota
A0A2C4DNI4	unreviewed	336	1890302		Bacteria	Bacillota
A0A2C4HC35	unreviewed	325	1890302		Bacteria	Bacillota
A0A2C4IC12	unreviewed	323	64104		Bacteria	Bacillota
A0A2C4IHR0	unreviewed	340	64104		Bacteria	Bacillota
A0A2C4PZV7	unreviewed	325	1890302		Bacteria	Bacillota
A0A2C4Q263	unreviewed	323	155322		Bacteria	Bacillota
A0A2C4QBT2	unreviewed	338	1890302		Bacteria	Bacillota
A0A2C4QII3	unreviewed	337	155322		Bacteria	Bacillota
A0A2C5D6B6	unreviewed	325	1890302		Bacteria	Bacillota
A0A2C5IMD2	unreviewed	336	155322		Bacteria	Bacillota
A0A2C5S8I7	unreviewed	342	83655		Bacteria	Pseudomonadota
A0A2C5TKN6	unreviewed	363	582		Bacteria	Pseudomonadota
A0A2C5TLE2	unreviewed	342	582		Bacteria	Pseudomonadota
A0A2C5TYV6	unreviewed	331	575		Bacteria	Pseudomonadota
A0A2C5V0P2	unreviewed	335	575		Bacteria	Pseudomonadota
A0A2C5VHC6	unreviewed	341	303		Bacteria	Pseudomonadota
A0A2C5W6B5	unreviewed	339	303		Bacteria	Pseudomonadota
A0A2C5WCZ3	unreviewed	331	303		Bacteria	Pseudomonadota
A0A2C6BZR1	unreviewed	339	82979		Bacteria	Pseudomonadota
A0A2C6DAW5	unreviewed	331	82979		Bacteria	Pseudomonadota
A0A2C6DIC3	unreviewed	344	82979		Bacteria	Pseudomonadota
A0A2C6DKQ9	unreviewed	350	82979		Bacteria	Pseudomonadota
A0A2C6DL17	unreviewed	335	82979		Bacteria	Pseudomonadota
A0A2C6DRP4	unreviewed	342	82979		Bacteria	Pseudomonadota
A0A2C6DVG3	unreviewed	727	82979		Bacteria	Pseudomonadota
A0A2C6DXP1	unreviewed	336	2003316		Bacteria	Pseudomonadota
A0A2C6WLQ2	unreviewed	317	1955013		Bacteria	Bacillota
A0A2C7YPF4	unreviewed	260	1744		Bacteria	Actinomycetota
A0A2C8EZ86	unreviewed	331	86185		Bacteria	Pseudomonadota
A0A2C8WYB5	unreviewed	229	1882786		Bacteria	Actinomycetota
A0A2C8X6R8	unreviewed	351	1882786		Bacteria	Actinomycetota
A0A2C8XLM2	unreviewed	410	1882786		Bacteria	Actinomycetota
A0A2C8ZVR6	unreviewed	341	386302		Bacteria	Actinomycetota
A0A2C9DBN1	unreviewed	344	1482074		Bacteria	Pseudomonadota
A0A2C9EG98	unreviewed	331	1124983		Bacteria	Pseudomonadota
A0A2C9ELL4	unreviewed	338	1124983		Bacteria	Pseudomonadota
A0A2C9NTK8	unreviewed	346	1242107		Bacteria	Pseudomonadota
A0A2C9NUB0	unreviewed	331	1242107		Bacteria	Pseudomonadota
A0A2C9NVX5	unreviewed	340	1242107		Bacteria	Pseudomonadota
A0A2C9P037	unreviewed	342	1242107		Bacteria	Pseudomonadota
A0A2C9P0U0	unreviewed	336	1242107		Bacteria	Pseudomonadota
A0A2C9P489	unreviewed	334	1242107		Bacteria	Pseudomonadota
A0A2C9P4F2	unreviewed	332	1242107		Bacteria	Pseudomonadota
A0A2C9PDN1	unreviewed	337	689		Bacteria	Pseudomonadota
A0A2C9XJU2	unreviewed	369	1834173		Bacteria	Bacillota
A0A2C9XK18	unreviewed	337	1834173		Bacteria	Bacillota
A0A2C9XK39	unreviewed	305	1834173		Bacteria	Bacillota
A0A2C9YLY6	unreviewed	325	339658		Bacteria	Bacillota
A0A2D0A529	unreviewed	339	2003629		Bacteria	Bacteroidota
A0A2D0AUN6	unreviewed	325	2014743		Bacteria	Bacillota
A0A2D0IV04	unreviewed	341	290111		Bacteria	Pseudomonadota
A0A2D0IYN0	unreviewed	351	290111		Bacteria	Pseudomonadota
A0A2D0J3P2	unreviewed	312	290110		Bacteria	Pseudomonadota
A0A2D0J4Z9	unreviewed	336	290110		Bacteria	Pseudomonadota
A0A2D0JLS2	unreviewed	341	351674		Bacteria	Pseudomonadota
A0A2D0JTN8	unreviewed	335	351674		Bacteria	Pseudomonadota
A0A2D0JWE6	unreviewed	331	351674		Bacteria	Pseudomonadota
A0A2D0K563	unreviewed	341	1851572		Bacteria	Pseudomonadota
A0A2D0K934	unreviewed	331	1851572		Bacteria	Pseudomonadota
A0A2D0KFX3	unreviewed	341	1034471		Bacteria	Pseudomonadota
A0A2D0KHE5	unreviewed	352	1034471		Bacteria	Pseudomonadota
A0A2D0KLV2	unreviewed	341	351614		Bacteria	Pseudomonadota
A0A2D0KSP5	unreviewed	331	351614		Bacteria	Pseudomonadota
A0A2D0KY51	unreviewed	341	1851571		Bacteria	Pseudomonadota
A0A2D0L1X3	unreviewed	351	351676		Bacteria	Pseudomonadota
A0A2D0L5Q7	unreviewed	338	1851571		Bacteria	Pseudomonadota
A0A2D0L7U6	unreviewed	331	1851571		Bacteria	Pseudomonadota
A0A2D0LAU8	unreviewed	341	351676		Bacteria	Pseudomonadota
A0A2D0LFH1	unreviewed	335	351676		Bacteria	Pseudomonadota
A0A2D0NB74	unreviewed	331	1122177		Bacteria	Bacteroidota
A0A2D0NGR2	unreviewed	337	1122177		Bacteria	Bacteroidota
A0A2D1QLG4	unreviewed	315	1324960		Bacteria	Pseudomonadota
A0A2D2C0E2	unreviewed	340	147645		Bacteria	Pseudomonadota
A0A2D2DF91	unreviewed	336	2045208		Bacteria	Pseudomonadota
A0A2D2M2X1	unreviewed	331	2049589		Bacteria	Pseudomonadota
A0A2D2M5B0	unreviewed	338	2049589		Bacteria	Pseudomonadota
A0A2D3D4K3	unreviewed	343	35760		Bacteria	Actinomycetota
A0A2D4QTS7	unreviewed	344	1904441		Bacteria	Pseudomonadota
A0A2D4TFG4	unreviewed	327	1932666		Bacteria	Pseudomonadota
A0A2D4TKN2	unreviewed	341	2026735		Bacteria	Myxococcota
A0A2D4W1Q4	unreviewed	178	51671		Bacteria	Actinomycetota
A0A2D4ZI34	unreviewed	341	2024839		Bacteria	Pseudomonadota
A0A2D4ZTY0	unreviewed	365	1898104		Bacteria	Bacteroidota
A0A2D5CPX6	unreviewed	340	2024839		Bacteria	Pseudomonadota
A0A2D5IFY8	unreviewed	363	2024839		Bacteria	Pseudomonadota
A0A2D5IG68	unreviewed	367	2024839		Bacteria	Pseudomonadota
A0A2D5IXB7	unreviewed	337	1904441		Bacteria	Pseudomonadota
A0A2D5IYZ5	unreviewed	341	1904441		Bacteria	Pseudomonadota
A0A2D5J2D7	unreviewed	339	1904441		Bacteria	Pseudomonadota
A0A2D5JPZ2	unreviewed	329	1913989		Bacteria	Pseudomonadota
A0A2D5LGS9	unreviewed	331	232		Bacteria	Pseudomonadota
A0A2D5LKN1	unreviewed	221	232		Bacteria	Pseudomonadota
A0A2D5LL49	unreviewed	313	232		Bacteria	Pseudomonadota
A0A2D5LQX1	unreviewed	346	1871037		Bacteria	Bacteroidota
A0A2D5SYS5	unreviewed	345	53249		Bacteria	Pseudomonadota
A0A2D5VQZ0	unreviewed	339	306		Bacteria	Pseudomonadota
A0A2D5VRP6	unreviewed	278	306		Bacteria	Pseudomonadota
A0A2D6AUW4	unreviewed	335	2026740		Bacteria	Bacteroidota
A0A2D6AV07	unreviewed	336	2026740		Bacteria	Bacteroidota
A0A2D6CS45	unreviewed	344	2024893		Bacteria	Pseudomonadota
A0A2D6K7I7	unreviewed	343	2024893		Bacteria	Pseudomonadota
A0A2D6WHX4	unreviewed	278	2024839		Bacteria	Pseudomonadota
A0A2D6WI06	unreviewed	356	2024839		Bacteria	Pseudomonadota
A0A2D6WIH2	unreviewed	342	2024839		Bacteria	Pseudomonadota
A0A2D7AK55	unreviewed	358	1938587		Bacteria	Pseudomonadota
A0A2D7D6M4	unreviewed	362	2026752		Bacteria	Kiritimatiellota
A0A2D7FGB0	unreviewed	353	2024831		Bacteria	Pseudomonadota
A0A2D7GCG6	unreviewed	339	1904441		Bacteria	Pseudomonadota
